row,csv_lat,csv_lon,csv_rssi,rx_signal_power_pred
1,45.8529335,13.7294618,-83.0,-65.17
2,45.8529238,13.7294573,-83.0,-65.17
3,45.8529808,13.7293233,-83.0,-65.39
4,45.8530055,13.7292793,-85.0,-65.38
5,45.8529766,13.7293996,-85.0,-65.4
6,45.8529525,13.7295526,-67.0,-65.19
7,45.8527626,13.730317,-63.0,-65.06
8,45.8526296,13.7311338,-65.0,-91.53
9,45.8525733,13.7320365,-62.0,-64.51
10,45.8524091,13.7329936,-69.0,-64.33
11,45.8526096,13.7340173,-68.0,-64.37
12,45.8530525,13.7348725,-65.0,-64.9
13,45.8536928,13.7355131,-80.0,-65.38
14,45.8543591,13.7360861,-81.0,-66.16
15,45.8544455,13.7370295,-79.0,-66.21
16,45.8541261,13.7375996,-66.0,-65.91
17,45.8536833,13.7385751,-77.0,-65.77
18,45.8535556,13.7397891,-74.0,-66.02
19,45.8535573,13.7410421,-74.0,-66.23
20,45.8534033,13.7422033,-75.0,-66.41
21,45.8529908,13.743116,-76.0,-66.39
22,45.8528721,13.7442388,-74.0,-97.28
23,45.8528605,13.7453133,-76.0,-66.94
24,45.8527951,13.7464201,-75.0,-67.28
25,45.8528676,13.7475516,-94.0,-95.8
26,45.8530931,13.7486786,-96.0,-94.5
27,45.8529943,13.7497755,-91.0,-69.28
28,45.8529968,13.7507341,-70.0,-93.63
29,45.8530035,13.7508021,-100.0,-92.04
30,45.8530191,13.7509585,-96.0,-91.11
32,45.8523803,13.7528543,-79.0,-69.36
33,45.8518988,13.7538858,-91.0,-69.48
34,45.8512365,13.7548383,-70.0,-69.69
35,45.850736,13.7560013,-100.0,-69.92
36,45.8504723,13.7571735,-96.0,-70.27
37,45.8500256,13.7584488,-71.0,-70.58
38,45.8498415,13.759966,-96.0,-86.44
39,45.8493216,13.7605718,-87.0,-71.06
40,45.8488048,13.7617501,-84.0,-71.36
41,45.8488481,13.763099,-108.0,-97.73
42,45.8488968,13.7643443,-110.0,-109.77
43,45.8494265,13.7649356,-118.0,-122.12
45,45.8496215,13.7668345,-70.0,-134.37
49,45.8492536,13.7706133,-69.0,-132.17
55,45.8454588,13.7705315,-114.0,-117.11
58,45.8446921,13.7673075,-112.0,-125.41999999999999
59,45.8443405,13.7663035,-78.0,-130.05
60,45.8440566,13.765193,-70.0,-134.74
61,45.843884,13.7641238,-70.0,-136.93
65,45.8414613,13.7610255,-115.0,-128.73
67,45.8399933,13.7592731,-70.0,-98.43
71,45.8391956,13.7625816,-68.0,-115.11
73,45.8384501,13.7639243,-d79.0,-118.53
74,45.8381423,13.764556,-79.0,-117.29
79,45.8339218,13.764762,-79.0,-102.52
80,45.8325006,13.7643586,-79.0,-94.04
82,45.829891,13.762076,-79.0,-92.49
83,45.8286861,13.7610151,-80.0,-95.87
85,45.8265951,13.758201,-79.0,-89.83
89,45.8222275,13.7528971,-79.0,-93.57
90,45.8215253,13.7521895,-79.0,-92.42
91,45.8207245,13.7509918,-80.0,-92.68
93,45.81849,13.7492698,-80.0,-75.31
99,45.8189986,13.740523,-105.0,-87.8
102,45.8219833,13.7361135,-80.0,-97.65
103,45.822857,13.7346163,-79.0,-106.97
104,45.8237696,13.7331076,-78.0,-106.23
105,45.8245023,13.7323976,-79.0,-101.52
107,45.8260248,13.7336668,-111.0,-108.75
108,45.8267525,13.7335915,-120.0,-109.62
111,45.828943,13.736651,-79.0,-100.33
112,45.8299668,13.7373558,-113.0,-74.91
114,45.8316763,13.7399046,-70.0,-78.97
115,45.8323855,13.740563,-79.0,-83.1
117,45.8348581,13.7381233,-92.0,-76.14
118,45.8361391,13.7385296,-78.0,-75.14
119,45.8373708,13.737918,-79.0,-69.09
120,45.8386736,13.7371988,-76.0,-61.95
121,45.8396915,13.7358016,-83.0,-59.019999999999996
122,45.8407061,13.7343743,-70.0,-55.43
123,45.8417323,13.7331145,-60.0,-49.5
124,45.8427216,13.7327208,-53.0,-46.41
125,45.84492,13.7298886,-56.0,-56.48
126,45.8461415,13.7288868,-82.0,-58.25
128,45.8482081,13.72605,-76.0,-64.63
129,45.8491468,13.7245828,-73.0,-64.94
130,45.8498038,13.723637,-76.0,-66.44
131,45.8505721,13.722293,-79.0,-69.31
132,45.8513301,13.720472,-79.0,-75.84
133,45.852137,13.7190616,-79.0,-73.59
134,45.8534893,13.7188311,-86.0,-68.76
135,45.8549361,13.7193788,-81.0,-69.16
136,45.8563158,13.719486,-85.0,-69.71
137,45.8559353,13.7193043,-76.0,-69.54
138,45.8546943,13.7187151,-73.0,-69.2
139,45.8535986,13.7177518,-78.0,-69.08
140,45.8523496,13.7166173,-79.0,-68.94
141,45.851785,13.7154958,-90.0,-69.16
142,45.8514846,13.7138181,-102.0,-69.6
143,45.8509821,13.7119556,-79.0,-70.1
145,45.8492648,13.7086628,-79.0,-105.81
146,45.8483686,13.707309,-69.0,-101.8
147,45.8481791,13.7062235,-99.0,-93.11
148,45.8486268,13.7047396,-113.0,-104.54